,sdate,edate,municipality_name,county,displayName,type,mode,category,concern
0,2012-01-01,2017-11-30,Krokoms kommun,Jämtlands län,100 % Krokom,huvudredaktion,redaktion,Gratistidning,Mittmedia
1,2012-01-01,2017-11-30,Strömsunds kommun,Jämtlands län,100 % Strömsund,huvudredaktion,redaktion,Gratistidning,Mittmedia
2,0,9,Strömsunds kommun,Jämtlands län,Affärsnytt Norr,huvudredaktion,redaktion,Gratistidning,
3,2019-06-05,9,Strömsunds kommun,Jämtlands län,Jämtlands Tidning,lokalredaktion,redaktion,Dagspress,
4,0,9,Strömsunds kommun,Jämtlands län,Strömsunds gratistidning,huvudredaktion,redaktion,Gratistidning,Pobeda
5,2012-01-01,2017-11-30,Östersunds kommun,Jämtlands län,100 % Östersund,huvudredaktion,redaktion,Gratistidning,Mittmedia
6,2014-05-01,9,Östersunds kommun,Jämtlands län,Jämtlands gratistidning,huvudredaktion,redaktion,Gratistidning,Pobeda
7,2015-05-01,9,Östersunds kommun,Jämtlands län,Jämtlands Tidning,huvudredaktion,redaktion,Dagspress,
8,1924-07-18,2019-03-31,Östersunds kommun,Jämtlands län,Länstidningen Östersund,huvudredaktion,redaktion,Dagspress,Mittmedia
9,2019-04-01,2020-04-01,Östersunds kommun,Jämtlands län,Länstidningen Östersund,huvudredaktion,redaktion,Dagspress,Bonnier|Mittmedia
10,2020-04-02,9,Östersunds kommun,Jämtlands län,Länstidningen Östersund,huvudredaktion,redaktion,Dagspress,Bonnier
11,0,9,Östersunds kommun,Jämtlands län,Sveriges Radio P4 Jämtland,huvudredaktion,redaktion,Etermedier,Sveriges Radio
12,2015-04-13,2015-04-12,Östersunds kommun,Jämtlands län,SVT Nyheter Västernorrland,lokalredaktion,redaktion,Etermedier,Sveriges Television
13,0,2015-04-12,Östersunds kommun,Jämtlands län,Mittnytt,lokalredaktion,redaktion,Etermedier,Sveriges Television
14,2015-04-13,9,Östersunds kommun,Jämtlands län,SVT Nyheter Jämtland,huvudredaktion,redaktion,Etermedier,Sveriges Television
15,2018-03-21,2019-03-31,Östersunds kommun,Jämtlands län,ÖP Magasin,huvudredaktion,redaktion,Gratistidning,Mittmedia
16,2019-04-01,2020-04-01,Östersunds kommun,Jämtlands län,ÖP Magasin,huvudredaktion,redaktion,Gratistidning,Bonnier|Mittmedia
17,2020-04-02,9,Östersunds kommun,Jämtlands län,ÖP Magasin,huvudredaktion,redaktion,Gratistidning,Bonnier
18,1877,2019-03-31,Östersunds kommun,Jämtlands län,Östersunds-Posten,huvudredaktion,redaktion,Dagspress,Mittmedia
19,2019-04-01,2020-04-01,Östersunds kommun,Jämtlands län,Östersunds-Posten,huvudredaktion,redaktion,Dagspress,Bonnier|Mittmedia
20,2020-04-02,9,Östersunds kommun,Jämtlands län,Östersunds-Posten,huvudredaktion,redaktion,Dagspress,Bonnier
21,2016-02-01,2018-10-31,Karlskrona kommun,Blekinge län,24 Blekinge,huvudredaktion,redaktion,Sajt,24 Journalistik
22,2018-11-01,2019-07-03,Karlskrona kommun,Blekinge län,24 Blekinge,huvudredaktion,riktad titel,Sajt,24 Journalistik
23,1869,9,Karlskrona kommun,Blekinge län,Blekinge Läns Tidning med Sölvesborgs-Tidningen och Karlshamns Allehanda,huvudredaktion,redaktion,Dagspress,Gota Media
